player_name,player_id,season_id,pts,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,stl,tov,blk,fantasy_pts
Jakob Poeltl,1627751,2018-19,5.81,18.18,2.41,4.57,0.05,0.19,0.92,1.45,1.56,3.12,0.7,0.42,0.92,0.94,8.93
Noah Vonleh,203943,2018-19,6.55,18.29,2.61,5.59,0.31,1.06,1.02,1.41,1.38,3.18,1.01,0.54,0.78,0.41,8.92
Yogi Ferrell,1627812,2018-19,9.28,25.59,3.34,8.34,1.56,4.19,1.0,1.39,0.4,2.43,2.07,0.71,0.92,0.29,8.87
Tyler Zeller,203092,2018-19,6.99,17.73,2.96,6.16,0.08,0.22,0.98,1.26,1.46,2.89,0.73,0.39,0.78,0.52,8.71
Derrick Rose,201565,2018-19,10.87,24.87,4.24,9.64,0.46,1.47,1.95,2.47,0.68,1.68,1.95,0.75,1.53,0.19,8.69
Brook Lopez,201572,2018-19,9.2,21.67,3.35,8.22,1.07,3.1,1.39,1.77,0.97,2.7,0.96,0.45,0.86,0.51,8.68
Dante Exum,203957,2018-19,7.99,22.8,3.03,7.02,0.51,1.5,1.43,1.87,0.35,1.71,3.53,0.79,1.37,0.1,8.67
Jodie Meeks,201975,2018-19,9.31,22.06,3.49,7.84,1.13,3.11,1.2,1.54,0.49,2.08,1.63,0.62,0.98,0.2,8.65
Garrett Temple,202066,2018-19,8.89,26.75,3.33,7.78,1.11,3.01,1.13,1.4,0.45,2.13,1.98,0.82,1.12,0.23,8.65
Shelvin Mack,202714,2018-19,7.18,22.52,2.71,6.33,0.58,1.65,1.22,1.55,0.31,1.84,3.79,0.77,1.4,0.08,8.62
Reggie Bullock,203493,2018-19,9.73,23.29,3.65,8.57,1.56,4.03,0.9,1.04,0.35,2.31,1.24,0.74,0.92,0.24,8.62
CJ Miles,101139,2018-19,9.96,24.45,3.41,8.52,1.79,4.84,1.34,1.6,0.34,2.39,1.48,0.59,1.02,0.23,8.61
Frank Kaminsky,1626163,2018-19,10.46,22.57,3.75,8.75,1.27,3.33,1.7,2.04,0.49,2.2,1.2,0.57,1.08,0.11,8.61
Ish Smith,202397,2018-19,7.92,22.49,3.27,7.39,0.32,1.03,1.03,1.36,0.27,1.85,3.43,0.71,1.21,0.1,8.61
Montrezl Harrell,1626149,2018-19,7.52,14.91,2.99,5.75,0.05,0.19,1.49,2.01,1.24,2.34,0.71,0.36,0.8,0.51,8.61
George Hill,201588,2018-19,8.08,24.8,2.96,6.99,1.1,2.92,1.03,1.33,0.49,2.35,1.95,0.75,0.9,0.16,8.56
Jeremy Lamb,203087,2018-19,9.63,23.82,3.57,8.52,0.78,2.34,1.75,2.12,0.5,2.23,1.66,0.76,1.16,0.19,8.49
Salah Mejri,1626257,2018-19,5.04,17.49,2.03,3.89,0.0,0.01,1.01,1.62,1.47,2.96,0.48,0.4,0.77,1.33,8.46
Ivica Zubac,1627826,2018-19,6.38,17.67,2.53,4.79,0.0,0.02,1.29,1.97,1.63,2.77,0.6,0.36,0.85,0.49,8.44
Ed Davis,202334,2018-19,4.9,18.93,2.01,4.03,0.09,0.3,0.76,1.26,1.66,3.31,0.6,0.47,0.88,0.83,8.37
Jae Crowder,203109,2018-19,8.67,23.15,3.14,7.43,1.28,3.54,1.11,1.37,0.51,2.46,1.36,0.62,0.92,0.18,8.32
D.J. Augustin,201571,2018-19,8.88,21.88,3.07,7.42,1.04,2.78,1.7,2.06,0.3,1.4,2.96,0.58,1.2,0.09,8.3
Tyler Ulis,1627755,2018-19,6.4,20.43,2.52,5.66,0.38,1.04,1.01,1.27,0.33,1.54,3.78,0.74,1.22,0.13,8.29
Sam Dekker,1626155,2018-19,6.74,19.8,2.52,5.53,0.63,1.57,1.03,1.3,0.92,2.79,1.11,0.56,0.85,0.29,8.27
Bismack Biyombo,202687,2018-19,5.08,17.78,2.04,4.05,0.01,0.04,1.01,1.57,1.41,3.06,0.64,0.36,0.81,1.11,8.27
T.J. McConnell,204456,2018-19,5.73,20.82,2.31,5.62,0.23,0.8,0.86,1.1,0.41,1.85,4.0,1.08,1.4,0.11,8.22
Joe Harris,203925,2018-19,8.07,22.2,2.96,6.84,1.19,3.01,0.97,1.22,0.48,2.45,1.4,0.54,0.88,0.26,8.19
Pascal Siakam,1627783,2018-19,6.17,20.32,2.46,5.55,0.61,1.65,0.64,0.81,0.72,2.4,1.91,0.72,0.89,0.38,8.15
Willy Hernangomez,1626195,2018-19,5.99,14.72,2.28,4.34,0.0,0.01,1.45,2.06,1.46,2.66,0.6,0.38,0.86,0.57,8.12
Jarell Martin,1626185,2018-19,6.56,18.61,2.56,5.89,0.37,1.11,1.1,1.63,1.27,2.8,1.02,0.55,0.93,0.67,8.09
Tristan Thompson,202684,2018-19,5.93,17.85,2.46,5.14,0.09,0.35,0.97,1.49,1.64,2.97,0.69,0.39,0.85,0.51,8.07
Jerryd Bayless,201573,2018-19,7.79,23.68,2.84,6.64,1.07,2.9,1.03,1.3,0.54,2.03,1.68,0.84,1.01,0.25,8.05
Iman Shumpert,202697,2018-19,7.15,21.02,2.6,6.2,0.84,2.57,1.06,1.42,0.63,2.78,1.31,0.86,1.05,0.31,8.05
Raul Neto,203526,2018-19,8.08,17.63,3.21,6.93,0.78,2.07,0.94,1.32,0.3,1.45,2.92,0.55,1.24,0.07,8.03
Chandler Parsons,202718,2018-19,7.8,20.34,2.98,6.5,0.99,2.64,0.85,1.01,0.48,2.04,1.11,0.64,0.68,0.32,8.02
Danuel House,1627863,2018-19,7.73,19.74,2.83,6.37,0.99,2.71,1.1,1.53,0.5,2.39,1.34,0.58,0.88,0.34,8.02
Quinn Cook,1626188,2018-19,8.86,22.23,3.29,7.74,1.14,3.19,1.15,1.38,0.35,2.11,1.95,0.51,1.21,0.11,8.0
Cameron Payne,1626166,2018-19,7.91,23.51,3.03,7.41,0.88,2.61,0.96,1.23,0.42,2.0,2.66,0.79,1.25,0.1,7.98
Evan Turner,202323,2018-19,7.08,22.04,2.83,6.64,0.43,1.3,1.03,1.4,0.48,2.65,2.11,0.64,1.12,0.32,7.98
PJ Tucker,200782,2018-19,6.14,23.94,2.19,5.38,1.07,2.91,0.69,0.94,0.66,2.86,1.31,0.75,0.74,0.36,7.89
Luc Mbah a Moute,201601,2018-19,6.56,22.8,2.43,5.73,0.89,2.54,0.85,1.25,0.62,2.49,1.7,0.81,0.94,0.34,7.87
Jahlil Okafor,1626143,2018-19,6.75,17.94,2.81,6.03,0.05,0.17,1.08,1.4,1.16,2.72,0.74,0.33,0.88,0.53,7.82
Michael Kidd-Gilchrist,203077,2018-19,7.28,20.49,2.89,6.26,0.02,0.15,1.49,2.08,1.12,2.39,0.96,0.53,1.02,0.44,7.73
Corey Brewer,201147,2018-19,6.69,19.2,2.48,5.63,0.6,1.92,1.06,1.44,0.84,2.23,1.21,0.94,0.9,0.2,7.69
Devin Harris,2734,2018-19,7.65,20.08,2.68,6.28,0.95,2.54,1.4,1.71,0.3,1.52,2.23,0.6,1.06,0.14,7.47
Wayne Selden,1627782,2018-19,8.36,21.24,3.19,7.58,0.89,2.55,1.11,1.41,0.46,1.79,1.99,0.64,1.25,0.18,7.47
Deyonta Davis,1627738,2018-19,4.98,16.4,2.12,4.51,0.05,0.16,0.72,1.12,1.47,2.58,0.9,0.4,0.64,0.55,7.46
Ian Clark,203546,2018-19,7.51,19.86,2.93,6.47,1.02,2.7,0.61,0.76,0.49,1.78,1.24,0.49,0.64,0.26,7.44
Jonas Jerebko,201973,2018-19,6.72,19.5,2.48,5.76,0.89,2.48,0.87,1.1,0.72,2.4,1.04,0.42,0.68,0.34,7.44
JR Smith,2747,2018-19,6.99,24.38,2.63,6.14,1.19,3.06,0.6,0.74,0.28,2.03,1.73,0.61,0.8,0.18,7.39
Damian Jones,1627745,2018-19,5.27,17.32,2.14,4.4,0.0,0.0,0.97,1.53,1.56,2.52,0.63,0.31,0.7,0.56,7.33
Jamal Crawford,2037,2018-19,8.38,20.02,3.03,7.16,0.94,2.59,1.36,1.61,0.27,1.6,1.85,0.55,1.11,0.15,7.32
Jerian Grant,1626170,2018-19,6.54,19.97,2.39,5.64,0.41,1.28,1.38,1.79,0.32,1.39,2.89,0.75,1.1,0.08,7.23
Wesley Johnson,202325,2018-19,6.19,20.17,2.38,5.87,0.69,2.15,0.72,1.04,0.67,2.39,1.5,0.83,0.95,0.4,7.22
Dante Cunningham,201967,2018-19,5.81,18.76,2.26,5.01,0.6,1.6,0.69,0.97,0.82,2.65,0.98,0.46,0.75,0.27,7.21
Kyle Korver,2594,2018-19,7.28,20.09,2.51,6.05,1.34,3.33,0.88,1.02,0.29,1.98,1.4,0.51,0.75,0.16,7.21
Isaiah Canaan,203477,2018-19,6.9,20.08,2.44,6.3,0.77,2.15,1.26,1.61,0.33,1.57,2.98,0.68,1.17,0.13,7.19
Alec Burks,202692,2018-19,8.35,20.8,3.01,7.29,0.69,2.19,1.67,2.17,0.52,1.89,1.53,0.54,1.01,0.14,7.19
Dragan Bender,1627733,2018-19,6.58,21.84,2.46,6.08,1.01,2.84,0.61,0.84,0.5,2.45,1.19,0.6,0.84,0.51,7.14
Matthew Dellavedova,203521,2018-19,5.58,19.42,2.09,4.95,0.65,1.76,0.75,0.91,0.34,1.56,3.31,0.64,1.39,0.12,7.13
Gerald Green,101123,2018-19,8.4,21.07,3.01,7.55,1.48,4.03,0.88,1.08,0.38,1.9,1.03,0.6,0.74,0.28,7.12
Omri Casspi,201956,2018-19,5.7,16.39,2.22,4.97,0.19,0.69,1.06,1.47,1.03,2.51,0.72,0.46,0.58,0.43,7.12
Norman Powell,1626181,2018-19,7.5,19.68,2.89,6.85,1.06,2.79,0.71,0.88,0.33,1.67,2.05,0.58,1.06,0.15,7.09
Ian Mahinmi,101133,2018-19,5.05,16.97,1.93,4.06,0.0,0.02,1.19,1.85,1.47,2.51,0.69,0.52,0.98,0.55,7.02
Boban Marjanovic,1626246,2018-19,5.72,14.41,2.07,4.54,0.01,0.03,1.59,2.11,1.41,2.29,0.51,0.38,0.72,0.33,6.94
Nene,2403,2018-19,6.44,16.15,2.64,5.71,0.11,0.29,1.09,1.42,0.92,2.1,0.75,0.54,0.78,0.3,6.87
Patty Mills,201988,2018-19,6.89,22.11,2.52,6.24,0.98,2.62,0.89,1.13,0.3,1.75,2.1,0.7,1.02,0.12,6.86
Gorgui Dieng,203476,2018-19,4.85,15.93,1.9,3.92,0.14,0.36,0.92,1.23,0.97,2.03,0.84,0.59,0.51,0.37,6.8
Jose Calderon,101181,2018-19,6.44,17.61,2.44,5.77,0.74,1.98,0.87,1.08,0.29,1.4,2.66,0.64,1.2,0.11,6.78
Nick Young,201156,2018-19,7.71,19.61,2.75,6.71,1.31,3.43,0.9,1.1,0.35,1.67,1.12,0.6,0.66,0.11,6.73
Anthony Tolliver,201229,2018-19,7.18,18.15,2.58,6.06,1.03,2.67,1.01,1.22,0.42,1.9,0.95,0.46,0.7,0.19,6.71
DeAndre' Bembry,1627761,2018-19,5.62,18.36,2.14,5.16,0.36,1.24,0.98,1.32,0.51,1.76,2.17,0.79,1.07,0.2,6.61
Troy Daniels,203584,2018-19,7.62,20.04,2.63,6.55,1.52,3.92,0.83,0.99,0.24,1.81,1.12,0.47,0.71,0.14,6.61
Doug McDermott,203926,2018-19,6.67,18.6,2.52,5.61,0.89,2.27,0.74,0.89,0.41,2.02,0.89,0.28,0.62,0.18,6.6
Tomas Satoransky,203107,2018-19,5.76,19.8,2.38,5.72,0.36,1.13,0.68,0.94,0.62,1.68,2.22,0.57,0.88,0.17,6.55
Justin Anderson,1626147,2018-19,6.41,17.18,2.38,5.77,0.88,2.66,0.77,0.99,0.62,2.12,0.79,0.49,0.61,0.31,6.51
Vince Carter,1713,2018-19,5.96,17.72,2.22,5.47,0.96,2.63,0.61,0.8,0.47,2.16,1.09,0.66,0.82,0.28,6.37
Kevon Looney,1626172,2018-19,4.01,13.55,1.66,3.28,0.09,0.35,0.62,1.03,0.95,2.18,0.62,0.4,0.52,0.73,6.34
Ben McLemore,203463,2018-19,6.76,19.23,2.52,6.04,0.91,2.54,0.81,1.02,0.53,1.76,0.98,0.6,0.81,0.25,6.33
Wayne Ellington,201961,2018-19,7.24,19.65,2.56,6.55,1.37,3.71,0.75,0.89,0.31,1.9,0.95,0.54,0.61,0.12,6.32
Mike Scott,203118,2018-19,6.54,17.85,2.55,5.8,0.78,2.08,0.67,0.82,0.51,1.93,0.93,0.31,0.68,0.15,6.3
Aron Baynes,203382,2018-19,4.01,14.89,1.69,3.61,0.01,0.06,0.58,0.88,1.2,2.49,0.56,0.33,0.67,0.61,6.3
Timothe Luwawu-Cabarrot,1627789,2018-19,7.19,19.63,2.76,6.49,0.8,2.12,0.85,0.97,0.35,1.75,1.39,0.44,1.1,0.12,6.28
Zaza Pachulia,2585,2018-19,4.71,15.2,1.89,4.14,0.0,0.04,0.92,1.23,1.13,2.25,0.79,0.44,0.8,0.25,6.22
Shaun Livingston,2733,2018-19,5.37,16.98,2.24,4.73,0.07,0.25,0.84,1.13,0.42,1.52,1.69,0.51,0.88,0.28,6.12
Richaun Holmes,1626158,2018-19,4.35,13.44,1.7,3.64,0.02,0.02,0.9,1.23,1.25,1.95,0.63,0.28,0.61,0.44,6.03
Bryn Forbes,1627854,2018-19,6.4,18.14,2.36,5.62,0.86,2.34,0.84,0.98,0.36,1.72,1.03,0.43,0.67,0.15,6.02
Raymond Felton,101109,2018-19,6.58,17.63,2.49,6.31,0.88,2.47,0.74,0.88,0.31,1.35,1.92,0.61,0.93,0.08,5.95
Derrick Jones Jr.,1627884,2018-19,4.32,14.05,1.73,3.32,0.0,0.02,0.89,1.43,1.14,1.94,0.28,0.26,0.73,0.84,5.93
Tyus Jones,1626145,2018-19,4.54,15.53,1.71,4.46,0.32,1.14,0.79,1.08,0.45,1.19,2.8,0.85,1.03,0.18,5.93
Tony Snell,203503,2018-19,5.44,22.05,2.04,4.9,0.8,2.27,0.58,0.83,0.44,2.0,1.0,0.63,0.74,0.25,5.91
Davis Bertans,202722,2018-19,6.28,17.82,2.32,5.53,1.09,2.89,0.51,0.68,0.33,1.72,0.75,0.48,0.58,0.28,5.89
Tim Frazier,204025,2018-19,3.91,15.76,1.47,3.65,0.3,1.09,0.71,0.93,0.34,1.3,2.69,0.92,1.03,0.09,5.82
JaVale McGee,201580,2018-19,4.09,11.35,1.75,3.26,0.0,0.02,0.61,0.97,0.98,1.76,0.32,0.24,0.43,0.7,5.78
Tony Parker,2225,2018-19,5.45,17.09,2.28,5.29,0.28,0.83,0.61,0.81,0.29,1.33,2.38,0.47,1.03,0.03,5.72
Langston Galloway,204038,2018-19,6.46,17.95,2.34,5.97,1.04,2.91,0.76,0.96,0.39,1.67,0.96,0.59,0.69,0.15,5.72
Cristiano Felicio,1626245,2018-19,4.2,14.39,1.72,3.44,0.0,0.04,0.75,1.05,0.99,1.94,0.61,0.29,0.67,0.27,5.6
Gary Payton II,1627780,2018-19,4.81,15.4,1.88,3.96,0.47,1.29,0.55,0.76,0.58,1.52,0.93,0.58,0.67,0.11,5.58
Rodney McGruder,203585,2018-19,5.21,18.89,1.93,4.36,0.69,1.83,0.66,0.92,0.46,1.66,0.92,0.4,0.57,0.2,5.57
Jason Smith,201160,2018-19,4.7,12.74,1.92,4.05,0.22,0.65,0.65,0.86,0.71,1.66,0.72,0.38,0.64,0.34,5.53
Cheick Diallo,1627767,2018-19,3.92,12.53,1.57,3.34,0.0,0.04,0.76,1.04,0.9,2.18,0.46,0.27,0.67,0.47,5.48
Henry Ellenson,1627740,2018-19,5.43,14.39,2.01,4.56,0.66,1.73,0.75,0.88,0.4,1.5,1.01,0.45,0.73,0.1,5.47
Amir Johnson,101161,2018-19,3.33,13.59,1.39,3.03,0.03,0.12,0.51,0.86,1.12,2.01,0.77,0.46,0.6,0.38,5.47
Patrick Patterson,202335,2018-19,4.73,16.19,1.81,4.43,0.53,1.78,0.56,0.75,0.6,1.79,0.9,0.62,0.62,0.23,5.44
Glenn Robinson III,203922,2018-19,4.95,16.76,1.79,4.34,0.64,1.89,0.73,0.88,0.29,1.37,1.49,0.63,0.73,0.12,5.43
Andrew Bogut,101106,2018-19,2.24,13.35,0.92,2.08,0.0,0.0,0.44,0.79,1.14,2.42,0.72,0.23,0.84,1.02,5.42
Patrick McCaw,1627775,2018-19,4.65,16.52,1.69,4.15,0.48,1.58,0.78,1.02,0.37,1.55,1.32,0.81,0.74,0.16,5.41
Alex Abrines,203518,2018-19,5.5,17.0,1.88,4.59,1.07,2.8,0.67,0.84,0.37,1.36,0.99,0.48,0.57,0.11,5.36
Bruno Caboclo,203998,2018-19,4.79,13.21,1.84,3.98,0.57,1.46,0.53,0.8,0.72,1.73,0.61,0.33,0.54,0.14,5.36
Treveon Graham,1626203,2018-19,4.72,16.13,1.61,4.21,0.56,1.73,1.01,1.17,0.3,1.46,1.72,0.6,0.85,0.1,5.28
Dorian Finney-Smith,1627827,2018-19,5.01,18.34,1.85,4.67,0.81,2.2,0.56,0.78,0.42,1.79,0.89,0.45,0.64,0.31,5.19
Ryan Anderson,201583,2018-19,5.09,16.75,1.77,4.68,0.83,2.36,0.74,1.04,0.43,1.95,0.74,0.48,0.59,0.26,5.16
Channing Frye,101112,2018-19,4.57,15.99,1.66,4.22,0.77,2.17,0.44,0.62,0.39,1.81,0.89,0.34,0.54,0.27,5.01
Nerlens Noel,203457,2018-19,2.93,11.64,1.26,2.56,0.0,0.04,0.43,0.79,0.96,2.05,0.44,0.37,0.56,0.46,4.98
Pat Connaughton,1626192,2018-19,4.96,15.18,1.94,4.65,0.73,1.98,0.36,0.51,0.27,1.79,0.92,0.39,0.65,0.14,4.95
Quincy Acy,203112,2018-19,4.7,15.68,1.72,4.21,0.9,2.4,0.36,0.49,0.39,1.77,0.65,0.37,0.53,0.2,4.93
Ron Baker,1627758,2018-19,3.42,13.33,1.28,2.98,0.37,1.01,0.5,0.66,0.27,1.14,1.56,0.69,0.54,0.14,4.82
Miles Plumlee,203101,2018-19,3.42,12.55,1.49,3.41,0.04,0.12,0.44,0.7,0.91,1.8,0.58,0.27,0.59,0.45,4.67
Solomon Hill,203524,2018-19,3.37,15.16,1.23,3.47,0.45,1.4,0.5,0.72,0.49,1.44,1.4,0.71,0.6,0.12,4.48
Nik Stauskas,203917,2018-19,4.7,15.4,1.77,4.54,0.63,1.91,0.54,0.75,0.3,1.46,1.05,0.38,0.68,0.17,4.4
Lance Thomas,202498,2018-19,3.83,14.65,1.51,3.69,0.47,1.47,0.38,0.5,0.59,1.49,0.58,0.44,0.47,0.22,4.38
Jared Dudley,201162,2018-19,3.51,14.71,1.32,3.29,0.19,0.7,0.71,0.85,0.32,1.11,1.45,0.46,0.72,0.1,4.13
Juan Hernangomez,1627823,2018-19,3.71,11.67,1.38,3.26,0.51,1.41,0.48,0.64,0.48,1.35,0.54,0.34,0.45,0.16,4.08
Meyers Leonard,203086,2018-19,3.94,10.84,1.5,3.36,0.38,1.06,0.54,0.7,0.4,1.16,0.5,0.28,0.56,0.22,3.94
Demetrius Jackson,1627743,2018-19,3.23,11.09,1.08,2.62,0.23,0.7,0.82,1.14,0.23,0.8,1.23,0.4,0.59,0.11,3.52
Malachi Richardson,1627781,2018-19,3.5,11.2,1.4,3.8,0.6,2.0,0.0,0.1,0.1,1.1,0.6,0.5,0.3,0.2,3.2
Malik Beasley,1627736,2018-19,3.3,11.54,1.28,3.16,0.38,1.18,0.41,0.53,0.28,0.8,0.71,0.38,0.5,0.09,3.06
Jake Layman,1627774,2018-19,2.69,9.96,1.0,2.45,0.26,0.9,0.43,0.56,0.23,0.7,0.75,0.34,0.4,0.11,2.83
Alex Poythress,1627816,2018-19,2.24,9.09,0.85,1.9,0.35,0.9,0.15,0.15,0.2,0.74,0.54,0.15,0.3,0.05,2.56
